K best
1 0.0
2 85.0
3 77.33333333333333
4 71.25
5 66.80000000000003
6 63.00000000000002
7 59.71428571428577
8 56.75
9 54.11111111111105
10 51.99999999999995
11 49.99999999999997
12 48.166666666666636
13 46.46153846153845
14 44.928571428571416
15 43.46666666666668
16 42.0625
17 40.35294117647052
18 38.11111111111105
19 36.105263157894754
20 34.29999999999995
21 32.66666666666663
22 31.181818181818166
23 29.82608695652179
24 28.583333333333304
25 27.44000000000002
26 26.384615384615373
27 25.407407407407433
28 24.499999999999986
29 23.655172413793085
30 22.86666666666667
31 22.129032258064502
32 21.4375
33 20.787878787878775
34 20.176470588235258
35 19.599999999999966
36 19.05555555555552
37 18.540540540540533
38 18.052631578947377
39 17.589743589743563
40 17.149999999999977
41 16.73170731707318
42 16.333333333333314
43 15.953488372093041
44 15.590909090909083
45 15.244444444444426
46 14.913043478260898
47 14.595744680851045
48 14.291666666666654
49 14.000000000000014
50 13.72000000000001
51 13.45098039215685
52 13.192307692307685
53 12.943396226415093
54 12.703703703703717
55 12.472727272727251
56 12.249999999999995
57 12.035087719298271
58 11.827586206896541
59 11.627118644067783
60 11.433333333333335
61 11.245901639344272
62 11.06451612903225
63 10.888888888888868
64 10.71875
65 10.553846153846134
66 10.39393939393939
67 10.238805970149269
68 10.08823529411763
69 9.942028985507243
70 9.799999999999983
71 9.661971830985909
72 9.527777777777763
73 9.397260273972625
74 9.270270270270268
75 9.146666666666665
76 9.026315789473689
77 8.909090909090905
78 8.794871794871781
79 8.683544303797461
80 8.574999999999989
81 8.469135802469152
82 8.365853658536588
83 8.265060240963866
84 8.166666666666659
85 8.070588235294107
86 7.9767441860465205
87 7.885057471264363
88 7.7954545454545405
