K best
1 0.0
2 0.0
3 0.0
4 0.0
5 117.1999999999999
6 112.16666666666657
7 108.5714285714285
8 105.5
9 102.7777777777776
10 100.19999999999983
11 97.72727272727295
12 95.0000000000001
13 92.69230769230757
14 86.07142857142846
15 80.33333333333326
16 75.3125
17 70.88235294117635
18 66.94444444444431
19 63.42105263157886
20 60.2499999999999
21 57.3809523809523
22 54.772727272727394
23 52.39130434782622
24 50.20833333333339
25 48.20000000000003
26 46.34615384615379
27 44.62962962962972
28 43.035714285714235
29 41.55172413793097
30 40.16666666666663
31 38.87096774193546
32 37.65625
33 36.515151515151494
34 35.44117647058817
35 34.42857142857137
36 33.47222222222216
37 32.567567567567636
38 31.710526315789437
39 30.897435897435845
40 30.124999999999957
41 29.390243902439046
42 28.690476190476144
43 28.023255813953526
44 27.38636363636371
45 26.777777777777732
46 26.195652173913107
47 25.638297872340452
48 25.1041666666667
49 24.59183673469383
50 24.10000000000002
51 23.627450980392123
52 23.17307692307689
53 22.735849056603833
54 22.31481481481486
55 21.909090909090857
56 21.517857142857117
57 21.14035087719303
58 20.775862068965484
59 20.423728813559293
60 20.083333333333318
61 19.754098360655725
62 19.435483870967726
63 19.12698412698409
64 18.828125
65 18.538461538461505
66 18.257575757575747
67 17.985074626865682
68 17.720588235294088
69 17.463768115942052
70 17.214285714285687
71 16.97183098591548
72 16.73611111111108
73 16.50684931506853
74 16.283783783783818
75 16.06666666666669
76 15.855263157894719
77 15.649350649350612
78 15.44871794871792
79 15.25316455696205
80 15.062499999999979
81 14.876543209876584
82 14.695121951219523
83 14.518072289156613
84 14.345238095238075
85 14.176470588235272
86 14.011627906976763
87 13.850574712643708
88 13.693181818181856
89 13.539325842696654
90 13.388888888888857
