K best
1 0.0
2 36.5
3 31.999999999999996
4 29.25
5 27.200000000000006
6 25.5
7 24.142857142857135
8 21.875
9 19.44444444444445
10 17.50000000000001
11 15.909090909090907
12 14.58333333333333
13 13.461538461538456
14 12.499999999999996
15 11.666666666666666
16 10.9375
17 10.294117647058822
18 9.722222222222225
19 9.210526315789467
20 8.750000000000007
21 8.333333333333336
22 7.954545454545454
23 7.608695652173911
24 7.291666666666666
25 7.000000000000002
26 6.730769230769228
27 6.48148148148148
28 6.249999999999998
29 6.034482758620689
30 5.833333333333332
31 5.645161290322577
32 5.46875
33 5.3030303030303
34 5.147058823529411
35 5.0
36 4.861111111111112
37 4.729729729729731
38 4.6052631578947345
39 4.487179487179489
40 4.3750000000000036
41 4.26829268292683
42 4.166666666666668
43 4.069767441860464
44 3.977272727272727
45 3.8888888888888875
46 3.8043478260869557
47 3.723404255319148
48 3.645833333333333
49 3.571428571428572
50 3.500000000000001
51 3.4313725490196063
52 3.365384615384614
53 3.301886792452831
54 3.24074074074074
55 3.1818181818181825
56 3.124999999999999
57 3.0701754385964914
58 3.0172413793103443
59 2.966101694915255
60 2.916666666666666
61 2.8688524590163937
62 2.8225806451612887
63 2.7777777777777777
64 2.734375
65 2.6923076923076925
66 2.65151515151515
67 2.611940298507461
68 2.5735294117647056
69 2.536231884057972
70 2.5
71 2.464788732394366
72 2.430555555555556
73 2.3972602739726026
74 2.364864864864865
75 2.3333333333333326
76 2.302631578947367
77 2.2727272727272734
78 2.2435897435897445
79 2.2151898734177227
80 2.187500000000001
81 2.1604938271604937
82 2.134146341463415
83 2.1084337349397595
