K best
1 0.0
2 3.5
3 2.9999999999999996
4 3.25
5 3.0000000000000004
6 2.833333333333333
7 2.857142857142857
8 2.75
9 2.7777777777777777
10 2.8000000000000007
11 2.7272727272727275
12 2.75
13 2.6923076923076925
14 2.714285714285714
15 2.666666666666667
16 2.5
17 2.3529411764705905
18 2.2222222222222223
19 2.105263157894737
20 2.0
21 1.9047619047619047
22 1.8181818181818183
23 1.7391304347826089
24 1.6666666666666665
25 1.6
26 1.5384615384615388
27 1.4814814814814814
28 1.4285714285714284
29 1.379310344827586
30 1.3333333333333335
31 1.2903225806451615
32 1.25
33 1.2121212121212124
34 1.1764705882352942
35 1.1428571428571428
36 1.1111111111111112
37 1.0810810810810811
38 1.0526315789473684
39 1.0256410256410258
40 1.0000000000000002
41 0.9756097560975611
42 0.9523809523809524
43 0.930232558139535
44 0.9090909090909092
45 0.888888888888889
46 0.8695652173913044
47 0.851063829787234
48 0.8333333333333333
49 0.8163265306122449
50 0.8
51 0.784313725490196
52 0.7692307692307692
53 0.7547169811320754
54 0.7407407407407406
55 0.7272727272727273
56 0.7142857142857142
57 0.7017543859649122
58 0.689655172413793
59 0.6779661016949153
60 0.6666666666666667
61 0.6557377049180327
62 0.6451612903225807
63 0.6349206349206349
64 0.625
65 0.6153846153846154
66 0.6060606060606062
67 0.5970149253731343
68 0.5882352941176471
69 0.5797101449275364
70 0.5714285714285714
71 0.5633802816901409
72 0.5555555555555556
73 0.547945205479452
74 0.5405405405405406
75 0.5333333333333333
76 0.5263157894736841
77 0.5194805194805195
78 0.5128205128205129
79 0.5063291139240507
80 0.5000000000000001
81 0.49382716049382713
82 0.4878048780487805
83 0.48192771084337355
84 0.4761904761904762
85 0.4705882352941177
86 0.4651162790697675
87 0.45977011494252873
88 0.4545454545454546
89 0.449438202247191
90 0.4444444444444445
91 0.4395604395604396
