K best
1 0.0
2 15.0
3 15.0
4 13.75
5 13.200000000000001
6 11.333333333333332
7 9.714285714285714
8 8.5
9 7.555555555555555
10 6.800000000000001
11 6.181818181818182
12 5.666666666666666
13 5.230769230769232
14 4.857142857142858
15 4.533333333333333
16 4.25
17 4.0
18 3.7777777777777777
19 3.5789473684210527
20 3.4
21 3.238095238095238
22 3.0909090909090913
23 2.956521739130435
24 2.833333333333333
25 2.7200000000000006
26 2.615384615384616
27 2.5185185185185186
28 2.4285714285714284
29 2.3448275862068964
30 2.2666666666666666
31 2.1935483870967736
32 2.125
33 2.06060606060606
34 2.0
35 1.9428571428571426
36 1.8888888888888888
37 1.8378378378378384
38 1.7894736842105263
39 1.7435897435897434
40 1.7
41 1.658536585365854
42 1.619047619047619
43 1.5813953488372092
44 1.5454545454545454
45 1.5111111111111115
46 1.4782608695652175
47 1.446808510638298
48 1.4166666666666665
49 1.3877551020408163
50 1.3600000000000003
51 1.3333333333333335
52 1.307692307692308
53 1.2830188679245282
54 1.2592592592592593
55 1.2363636363636363
56 1.2142857142857142
57 1.192982456140351
58 1.1724137931034482
59 1.152542372881356
60 1.1333333333333335
61 1.1147540983606559
62 1.096774193548387
63 1.0793650793650793
64 1.0625
65 1.0461538461538462
66 1.0303030303030303
67 1.0149253731343284
68 1.0
69 0.9855072463768115
70 0.9714285714285714
71 0.9577464788732395
72 0.9444444444444444
73 0.9315068493150684
74 0.918918918918919
75 0.9066666666666668
76 0.894736842105263
77 0.8831168831168832
78 0.8717948717948718
79 0.8607594936708861
80 0.8500000000000001
81 0.8395061728395061
82 0.829268292682927
83 0.8192771084337349
84 0.8095238095238095
85 0.8
86 0.7906976744186046
87 0.7816091954022988
88 0.7727272727272727
89 0.7640449438202247
90 0.7555555555555558
91 0.7472527472527475
92 0.7391304347826088
93 0.7311827956989247
94 0.7234042553191491
95 0.7157894736842105
96 0.7083333333333334
97 0.7010309278350516
98 0.6938775510204082
99 0.686868686868687
100 0.6800000000000002
101 0.6732673267326734
102 0.6666666666666667
103 0.6601941747572815
104 0.653846153846154
105 0.6476190476190478
106 0.6415094339622642
107 0.6355140186915887
108 0.6296296296296295
109 0.6238532110091746
110 0.6181818181818182
111 0.6126126126126126
112 0.6071428571428571
113 0.6017699115044248
114 0.5964912280701754
115 0.591304347826087
116 0.5862068965517242
