K best
1 202.0
2 178.0
3 162.0
4 150.25
5 139.39999999999986
6 131.83333333333326
7 125.71428571428565
8 120.0
9 110.9999999999998
10 99.89999999999984
11 90.81818181818196
12 83.25000000000003
13 76.84615384615377
14 71.3571428571428
15 66.59999999999998
16 62.4375
17 58.76470588235284
18 55.499999999999915
19 52.57894736842101
20 49.9499999999999
21 47.57142857142849
22 45.409090909090985
23 43.43478260869575
24 41.62500000000001
25 39.96000000000003
26 38.42307692307688
27 37.00000000000006
28 35.6785714285714
29 34.448275862068925
30 33.29999999999998
31 32.22580645161288
32 31.21875
33 30.272727272727252
34 29.38235294117641
35 28.54285714285709
36 27.74999999999995
37 27.000000000000036
38 26.289473684210506
39 25.61538461538457
40 24.97499999999996
41 24.3658536585366
42 23.78571428571425
43 23.23255813953491
44 22.704545454545496
45 22.199999999999967
46 21.71739130434787
47 21.255319148936177
48 20.812500000000007
49 20.3877551020408
50 19.98000000000001
51 19.588235294117624
52 19.211538461538442
53 18.849056603773604
54 18.500000000000032
55 18.163636363636325
56 17.8392857142857
57 17.526315789473717
58 17.224137931034463
59 16.932203389830484
60 16.64999999999999
61 16.37704918032788
62 16.11290322580644
63 15.85714285714283
64 15.609375
65 15.369230769230743
66 15.13636363636363
67 14.910447761194055
68 14.691176470588209
69 14.478260869565228
70 14.271428571428544
71 14.070422535211257
72 13.874999999999975
73 13.684931506849344
74 13.500000000000018
75 13.320000000000016
76 13.144736842105253
77 12.974025974025947
78 12.807692307692285
79 12.645569620253175
80 12.487499999999981
81 12.333333333333357
82 12.182926829268302
83 12.036144578313246
84 11.892857142857126
85 11.752941176470571
86 11.616279069767455
87 11.482758620689669
88 11.352272727272748
89 11.224719101123611
90 11.099999999999984
91 10.978021978021964
92 10.858695652173935
93 10.741935483870964
94 10.627659574468087
95 10.515789473684222
96 10.406250000000004
97 10.298969072164937
98 10.1938775510204
99 10.09090909090909
100 9.990000000000006
101 9.891089108910897
102 9.794117647058814
103 9.69902912621359
104 9.605769230769221
105 9.514285714285705
106 9.424528301886802
107 9.336448598130833
108 9.250000000000014
109 9.165137614678883
110 9.081818181818164
111 9.000000000000004
112 8.91964285714285
113 8.84070796460178
114 8.763157894736858
115 8.686956521739114
116 8.612068965517231
117 8.538461538461533
118 8.466101694915244
119 8.394957983193272
120 8.324999999999996
121 8.256198347107427
122 8.188524590163942
123 8.121951219512205
124 8.05645161290322
125 7.992000000000005
126 7.9285714285714155
127 7.866141732283456
128 7.8046875
129 7.744186046511638
130 7.684615384615372
131 7.625954198473292
132 7.568181818181815
133 7.511278195488747
134 7.45522388059703
